"Date","Actual","Forcast","Previous","forcast_change","prev_day_volume","daily_return","vix_prev_day","CPI_YoY","GDP_YoY","PCE_YoY","un_rate"
2008-03-18,2.25,2.5,3,NA,405311100,4.15432963006792,-20.0062047988274,3.97490355013443,NA,1.36123781414901,5.1
2008-04-30,2,2,2.25,-0.5,125514100,-0.589561443725184,2.71739698927276,3.90376097598881,1.37601076602762,1.17418928217179,5
2008-06-25,2,2,2,0,267300600,0.472588702284682,-5.70919126801846,4.93596610594786,NA,1.2409052359059,5.6
2008-08-05,2,NA,2,NA,188239600,2.69623805314245,-10.0042588521399,5.30801716209124,NA,1.08927218433839,6.1
2008-09-16,2,2,2,NA,483607000,1.67373095022356,-4.41640849269521,4.95331987513608,NA,-0.136281979805486,6.1
2008-10-08,1.5,NA,2,NA,540012100,-2.51923454169969,7.17212826422038,3.73105788995651,-2.54115368842126,-0.88332036499964,6.5
2008-10-29,1,1,1.5,NA,639939500,-0.725274481405724,4.4802867996091,3.73105788995651,-2.54115368842126,-1.1140953828212,6.5
2008-12-16,0.25,0.5,1,-0.5,256694200,4.70654151105168,-7.73431909701624,-0.022228002553859,NA,-1.1140953828212,7.3
2009-01-28,0.25,0.25,0.25,-0.25,273789700,3.38344474126364,-6.13017787594767,-0.113586019022127,-3.23422729307832,-1.84647687272279,7.8
2009-03-18,0.25,0.25,0.25,0,356814300,2.23844387811614,-1.81372028825274,-0.446478767662384,NA,-1.38442805209474,8.7
2009-04-29,0.25,0.25,0.25,0,247926300,2.12693459947904,-4.92753331828899,-0.576324424376706,-3.97883740531872,-2.09766739385803,9
2009-06-24,0.25,0.25,0.25,0,188309800,0.861761395763061,-5.00327236907359,-1.22917461821092,NA,-2.4028922886998,9.5
2009-08-12,0.25,0.25,0.25,0,157301000,1.0728601542134,-2.07771840297896,-1.48383556632676,NA,-2.28910032008607,9.6
2009-09-23,0.25,0.25,0.25,0,143126700,-0.831222581362379,1.77642915410492,-1.37794286288647,NA,-0.591065779329536,9.8
2009-11-04,0.25,0.25,0.25,0,228362600,0.257967361487421,-3.78340913847093,1.91458717447093,NA,-0.848372391767849,9.9
2009-12-16,0.25,0.25,0.25,0,120408800,0.152673421434635,-4.42065549422475,2.81412312320837,NA,-0.437346525425253,9.9
2010-01-27,0.25,0.25,0.25,0,211168800,0.47570892460822,-5.7433804123447,2.62111138897672,1.74526584491033,0.46288806198207,9.8
2010-03-16,0.25,0.25,0.25,0,146816800,0.79660328993596,-1.72221925523546,2.28617143932799,NA,-0.174476347270569,9.9
2010-04-28,0.25,0.25,0.25,0,355853300,0.759657986440043,-7.58439098089148,2.20677075253044,2.91359502911801,1.51110549771756,9.9
2010-06-23,0.25,0.25,0.25,0,239355400,-0.310323872028151,-0.517557832151905,1.12156059406863,NA,1.87116010119264,9.4
2010-08-10,0.25,0.25,0.25,0,120800400,-0.539890324155834,1.03885029776694,1.15017753951125,NA,2.25158152169009,9.5
2010-09-21,0.25,0.25,0.25,0,214555200,-0.201346042605433,3.95349014637083,1.11831224723318,NA,1.52611873774291,9.5
2010-11-03,0.25,0.25,0.25,0,158345900,0.401733121534842,-9.31849910672062,1.08454477660034,NA,2.56689399528547,9.8
2010-12-14,0.25,0.25,0.25,0,133812700,0.0883240073014768,0.341888181763061,1.43779302221794,NA,3.13788323401805,9.3
2011-01-26,0.25,0.25,0.25,0,167552200,0.387083673690203,-5.40080019726257,1.70078349150298,2.03779719961334,2.64732985604754,9.1
2011-03-15,0.25,0.25,0.25,0,234974100,-1.14573390668353,15.0970215842729,2.61924151035411,NA,2.95066685788041,9
2011-04-27,0.25,0.25,0.25,0,146600000,0.652859841255471,-1.7285499748241,3.07723444478687,1.7437088645502,2.40399569858072,9.1
2011-06-22,0.25,0.25,0.25,0,193157300,-0.602525693435274,-1.80275790872073,3.50231815063604,NA,2.07359579959379,9.1
2011-08-09,0.25,0.25,0.25,0,702263900,4.6498985538916,-26.9583304723104,3.75499603070808,NA,1.69187862955182,9
2011-09-21,0.25,0.25,0.25,0,218932200,-2.94582596061446,13.5727297675937,3.81262169281869,NA,1.28279422610893,9
2011-11-02,0.25,0.25,0.25,0,416565800,1.63112359777282,-5.83836282016386,3.45143221458173,NA,1.35439784559512,8.6
2011-12-13,0.25,0.25,0.25,0,215826100,-0.933881613871035,-1.01285636193645,3.06206683841939,NA,0.852679350672036,8.5
2012-01-25,0.25,0.25,0.25,0,103083300,0.836718654793533,-3.1729264215295,3.0087663379855,2.63806931088624,0.764390056828068,8.3
2012-03-13,0.25,0.25,0.25,0,104003500,1.80257802803105,-5.37084484749718,2.5828752813321,NA,1.04039700504963,8.2
2012-04-25,0.25,0.25,0.25,0,137484200,1.36916809244869,-7.07182684899795,2.27316337413486,2.40333583913792,1.19677850485134,8.2
2012-06-20,0.25,0.25,0.25,0,137382600,-0.162176306462458,-6.20239086888451,1.65387044829763,NA,1.41195075115781,8.2
